name;category;image;rating;no_of_ratings;actual_price;discount_price
GIZGA Essentials Portable Tabletop Tablet Stand Mobile Holder, Desktop Stand, Cradle, Dock for iPad, Smartphone, Kindle, ...;tv, audio & cameras;https://m.media-amazon.com/images/I/61zODtv7sfL._AC_UL320_.jpg;4.1;26037;5.49;1.53
Gizga Essentials Professional 3-in-1 Cleaning Kit for Camera, Lens, Binocular, Laptop, TV, Monitor, Smartphone, Tablet (In...;tv, audio & cameras;https://m.media-amazon.com/images/I/81mP6za2sRL._AC_UL320_.jpg;4.2;25215;5.49;2.74
GIZGA essentials Webcam Cover, Privacy Protector Webcam Cover Slide, Compatible with Laptop, Desktop, PC, Smartphone, Prot...;tv, audio & cameras;https://m.media-amazon.com/images/I/61-kvFSTgCL._AC_UL320_.jpg;4.3;405;7.69;1.42
GIZGA essentials Webcam Cover, Privacy Protector Webcam Cover Slide, Compatible with Laptop, Desktop, PC, Smartphone, Prot...;tv, audio & cameras;https://m.media-amazon.com/images/I/51d2xM0hUuL._AC_UL320_.jpg;4.3;405;3.29;0.98
Hohem iSteady X - 3-Axis 259g Lightweight Smartphone Gimbal Foldable Handheld Pocket Stabilizer Youtuber Vlogger Live Vide...;tv, audio & cameras;https://m.media-amazon.com/images/I/71IqMCriYlL._AC_UL320_.jpg;3.9;2113;7.69;59.39
Homeboss 7 in 1 Screen Cleaner and Gadget Sanitizer Spray Kit for Smartphone, Labtop, Camera (Incl: 100ml Spray, Microfibr...;tv, audio & cameras;https://m.media-amazon.com/images/I/61UrEuz3KjL._AC_UL320_.jpg;4.0;504;6.57;1.93
Hoss® Type c Female to Micro USB Male Adapter, Converter USB C to Micro USB, Charger Connector Works with Smartphones,Tabl...;tv, audio & cameras;https://m.media-amazon.com/images/I/51m1aLvRHZL._AC_UL320_.jpg;4.2;3609;5.49;3.28
HUMBLE Dynamic Lapel Collar Mic Voice Recording Filter Microphone for Singing Youtube SmartPhones, Black;tv, audio & cameras;https://m.media-amazon.com/images/I/61UW-tMaoFL._AC_UL320_.jpg;3.3;3076;5.49;2.19
HUMBLE Universal Waterproof Smartphone Protective Pouch for Pool, Beach for All Smartphones-Random Color;tv, audio & cameras;https://m.media-amazon.com/images/I/51Z8Y5DY2SL._AC_UL320_.jpg;3.9;482;6.59;2.19
HUMBLE® 360-Degree Cell Phone Holder with Adjustable Clamp Phone Tripod Mount Adapter Compatible with Smartphones & All Ty...;tv, audio & cameras;https://m.media-amazon.com/images/I/617kOlwUNHL._AC_UL320_.jpg;4.3;4164;7.69;2.46
